id,fecha,producto,categoria,precio,cantidad,total
1,2024-06-03 19:32:19,Cocina,Cocina,500,1,500
2,2024-06-03 19:32:19,Sillon,Muebles,500,4,2000
3,2024-06-03 19:32:19,Amplificador,Musica,200,5,1000
4,2024-06-03 19:32:19,Raqueta,Deportes,100,2,200
5,2024-06-03 19:32:19,Amplificador,Musica,200,10,2000
6,2024-06-03 19:32:19,Goma,Libreria,5,1,5
7,2024-06-03 19:32:19,Pelota,Deportes,50,9,450
8,2024-06-03 19:32:19,Pantalon,Indumentaria,300,10,3000
9,2024-06-03 19:32:19,Mesa,Muebles,300,4,1200
10,2024-06-03 19:32:19,Notebook,Tecnologia,1000,9,9000
11,2024-06-03 19:32:19,Mesa de luz,Muebles,50,2,100
12,2024-06-03 19:32:19,Cocina,Cocina,500,10,5000
13,2024-06-03 19:32:19,Goma,Libreria,5,8,40
14,2024-06-03 19:32:19,Libro,Libreria,50,1,50
15,2024-06-03 19:32:19,Microfono,Musica,100,6,600
16,2024-06-03 19:32:19,Amplificador,Musica,200,2,400
17,2024-06-03 19:32:19,Mesa,Muebles,300,3,900
18,2024-06-03 19:32:19,Pantalon,Indumentaria,300,1,300
19,2024-06-03 19:32:19,Sillon,Muebles,500,7,3500
20,2024-06-03 19:32:19,Remera,Indumentaria,100,9,900
21,2024-06-03 19:32:19,Camiseta,Deportes,100,8,800
22,2024-06-03 19:32:19,Cafetera,Electrodomesticos,100,9,900
23,2024-06-03 19:32:19,Bufanda,Indumentaria,50,7,350
24,2024-06-03 19:32:19,Comedero,Mascotas,20,10,200
25,2024-06-03 19:32:19,Cuaderno,Libreria,20,6,120
26,2024-06-03 19:32:19,Lavarropas,Electrodomesticos,1500,7,10500
27,2024-06-03 19:32:19,Remera,Indumentaria,100,3,300
28,2024-06-03 19:32:19,Botines,Deportes,200,9,1800
29,2024-06-03 19:32:19,Tenedor,Cocina,10,8,80
30,2024-06-03 19:32:19,Smartphone,Tecnologia,300,9,2700
31,2024-06-03 19:32:19,Camiseta,Deportes,100,7,700
32,2024-06-03 19:32:19,Sarten,Cocina,50,2,100
33,2024-06-03 19:32:19,Television,Tecnologia,1500,4,6000
34,2024-06-03 19:32:19,Television,Tecnologia,1500,3,4500
35,2024-06-03 19:32:19,Microfono,Musica,100,1,100
36,2024-06-03 19:32:19,Guitarra,Musica,300,5,1500
37,2024-06-03 19:32:19,Smartphone,Tecnologia,300,9,2700
38,2024-06-03 19:32:19,Oleo,Arte,40,2,80
39,2024-06-03 19:32:19,Sillon,Muebles,500,8,4000
40,2024-06-03 19:32:19,Tenedor,Cocina,10,1,10
41,2024-06-03 19:32:19,Microondas,Electrodomesticos,500,4,2000
42,2024-06-03 19:32:19,Tenedor,Cocina,10,10,100
43,2024-06-03 19:32:19,Cama,Muebles,1000,2,2000
44,2024-06-03 19:32:19,Botines,Deportes,200,5,1000
45,2024-06-03 19:32:19,Acrilico,Arte,30,6,180
46,2024-06-03 19:32:19,Cuchillo,Cocina,20,5,100
47,2024-06-03 19:32:19,Cama,Muebles,1000,3,3000
48,2024-06-03 19:32:19,Goma,Libreria,5,8,40
49,2024-06-03 19:32:19,Television,Tecnologia,1500,2,3000
50,2024-06-03 19:32:19,Botines,Deportes,200,5,1000
51,2024-06-03 19:32:19,Remera,Indumentaria,100,1,100
52,2024-06-03 19:32:19,Regla,Libreria,5,6,30
53,2024-06-03 19:32:19,Goma,Libreria,5,8,40
54,2024-06-03 19:32:19,Notebook,Tecnologia,1000,6,6000
55,2024-06-03 19:32:19,Sarten,Cocina,50,2,100
56,2024-06-03 19:32:19,Lienzo,Arte,100,5,500
57,2024-06-03 19:32:19,Lavarropas,Electrodomesticos,1500,5,7500
58,2024-06-03 19:32:19,Tablet,Tecnologia,500,7,3500
59,2024-06-03 19:32:19,Lavarropas,Electrodomesticos,1500,1,1500
60,2024-06-03 19:32:19,Zapatillas,Indumentaria,200,1,200
61,2024-06-03 19:32:19,Guitarra,Musica,300,10,3000
62,2024-06-03 19:32:19,Sillon,Muebles,500,1,500
63,2024-06-03 19:32:19,Teclado,Musica,200,9,1800
64,2024-06-03 19:32:19,Collar,Mascotas,15,4,60
65,2024-06-03 19:32:19,Guitarra,Musica,300,8,2400
66,2024-06-03 19:32:19,Smartwatch,Tecnologia,200,2,400
67,2024-06-03 19:32:19,Sarten,Cocina,50,1,50
68,2024-06-03 19:32:19,Correa,Mascotas,15,10,150
69,2024-06-03 19:32:19,Microfono,Musica,100,6,600
70,2024-06-03 19:32:19,Microfono,Musica,100,8,800
71,2024-06-03 19:32:19,Tablet,Tecnologia,500,5,2500
72,2024-06-03 19:32:19,Cocina,Cocina,500,10,5000
73,2024-06-03 19:32:19,Aspiradora,Electrodomesticos,300,1,300
74,2024-06-03 19:32:19,Raqueta,Deportes,100,5,500
75,2024-06-03 19:32:19,Microondas,Electrodomesticos,500,3,1500
76,2024-06-03 19:32:19,Goma,Libreria,5,3,15
77,2024-06-03 19:32:19,Aspiradora,Electrodomesticos,300,2,600
78,2024-06-03 19:32:19,Pantalon,Indumentaria,300,9,2700
79,2024-06-03 19:32:19,Bateria,Musica,500,5,2500
80,2024-06-03 19:32:19,Tablet,Tecnologia,500,7,3500
81,2024-06-03 19:32:19,Mesa de luz,Muebles,50,6,300
82,2024-06-03 19:32:19,Microondas,Electrodomesticos,500,7,3500
83,2024-06-03 19:32:19,Guitarra,Musica,300,10,3000
84,2024-06-03 19:32:19,Campera,Indumentaria,500,2,1000
85,2024-06-03 19:32:19,Bateria,Musica,500,10,5000
86,2024-06-03 19:32:19,Heladera,Electrodomesticos,2000,8,16000
87,2024-06-03 19:32:19,Pintura,Arte,50,5,250
88,2024-06-03 19:32:19,Aspiradora,Electrodomesticos,300,1,300
89,2024-06-03 19:32:19,Tenedor,Cocina,10,10,100
90,2024-06-03 19:32:19,Sarten,Cocina,50,1,50
91,2024-06-03 19:32:19,Aspiradora,Electrodomesticos,300,4,1200
92,2024-06-03 19:32:19,Botines,Deportes,200,9,1800
